level,length,deterministic_complexity,dimension,best_probability,best_log_probability,successful_restarts,restarts,iterations_best,seed
2,4,3,2,0.24999999999996936,-1.3862943611200131,28,28,47,20262731
3,8,6,2,0.016434148019476624,-4.108393912608712,28,28,58,20263731
3,8,6,3,0.2499999999997602,-1.3862943611208498,28,28,57,20263732
3,8,6,4,0.24999999999997574,-1.3862943611199876,28,28,51,20263733
4,16,12,2,9.488079226956014e-05,-9.262889272522486,28,28,40,20264731
4,16,12,3,0.006710886399997521,-5.004024235382248,28,28,52,20264732
4,16,12,4,0.01562499999993972,-4.15888308336353,28,28,61,20264733
5,32,24,2,6.391629639225097e-09,-18.8682765714588,28,28,46,20265731
5,32,24,3,1.525878905554615e-05,-11.090354889414852,28,28,40,20265732
5,32,24,4,7.633393008804645e-05,-9.48039302536137,28,28,53,20265733
