level,length,dc,predicted_dc,formula_match,minimal_tail,minimal_cycle,minimal_valid_splits,longest_border,border_shifts,longest_repeated_suffix,suffix_positions,maximum_shift_match,maximum_shift_match_witnesses,quarter,quarter_suffix_match,quarter_shift_match,four_block_identity,overlap_free
0,1,1,1,True,0,1,"[{""tail"": 0, ""cycle"": 1, ""generated_suffix"": 0}]",0,[],0,[],0,[],,,,,True
1,2,2,2,True,0,2,"[{""tail"": 0, ""cycle"": 2, ""generated_suffix"": 0}, {""tail"": 1, ""cycle"": 1, ""generated_suffix"": 0}]",0,[],0,[],0,[],,,,,True
2,4,3,3,True,0,3,"[{""tail"": 0, ""cycle"": 3, ""generated_suffix"": 1}]",1,[3],1,[0],1,"[{""shift"": 1, ""start"": 1}, {""shift"": 3, ""start"": 0}]",1,True,True,True,True
3,8,6,6,True,0,6,"[{""tail"": 0, ""cycle"": 6, ""generated_suffix"": 2}, {""tail"": 3, ""cycle"": 3, ""generated_suffix"": 2}]",2,[6],2,"[0, 3]",2,"[{""shift"": 2, ""start"": 2}, {""shift"": 3, ""start"": 0}, {""shift"": 3, ""start"": 3}, {""shift"": 6, ""start"": 0}]",2,True,True,True,True
4,16,12,12,True,0,12,"[{""tail"": 0, ""cycle"": 12, ""generated_suffix"": 4}, {""tail"": 6, ""cycle"": 6, ""generated_suffix"": 4}]",4,[12],4,"[0, 6]",4,"[{""shift"": 4, ""start"": 4}, {""shift"": 6, ""start"": 0}, {""shift"": 6, ""start"": 6}, {""shift"": 12, ""start"": 0}]",4,True,True,True,True
5,32,24,24,True,0,24,"[{""tail"": 0, ""cycle"": 24, ""generated_suffix"": 8}, {""tail"": 12, ""cycle"": 12, ""generated_suffix"": 8}]",8,[24],8,"[0, 12]",8,"[{""shift"": 8, ""start"": 8}, {""shift"": 12, ""start"": 0}, {""shift"": 12, ""start"": 12}, {""shift"": 24, ""start"": 0}]",8,True,True,True,True
6,64,48,48,True,0,48,"[{""tail"": 0, ""cycle"": 48, ""generated_suffix"": 16}, {""tail"": 24, ""cycle"": 24, ""generated_suffix"": 16}]",16,[48],16,"[0, 24]",16,"[{""shift"": 16, ""start"": 16}, {""shift"": 24, ""start"": 0}, {""shift"": 24, ""start"": 24}, {""shift"": 48, ""start"": 0}]",16,True,True,True,True
7,128,96,96,True,0,96,"[{""tail"": 0, ""cycle"": 96, ""generated_suffix"": 32}, {""tail"": 48, ""cycle"": 48, ""generated_suffix"": 32}]",32,[96],32,"[0, 48]",32,"[{""shift"": 32, ""start"": 32}, {""shift"": 48, ""start"": 0}, {""shift"": 48, ""start"": 48}, {""shift"": 96, ""start"": 0}]",32,True,True,True,True
8,256,192,192,True,0,192,"[{""tail"": 0, ""cycle"": 192, ""generated_suffix"": 64}, {""tail"": 96, ""cycle"": 96, ""generated_suffix"": 64}]",64,[192],64,"[0, 96]",64,"[{""shift"": 64, ""start"": 64}, {""shift"": 96, ""start"": 0}, {""shift"": 96, ""start"": 96}, {""shift"": 192, ""start"": 0}]",64,True,True,True,True
9,512,384,384,True,0,384,"[{""tail"": 0, ""cycle"": 384, ""generated_suffix"": 128}, {""tail"": 192, ""cycle"": 192, ""generated_suffix"": 128}]",128,[384],128,"[0, 192]",128,"[{""shift"": 128, ""start"": 128}, {""shift"": 192, ""start"": 0}, {""shift"": 192, ""start"": 192}, {""shift"": 384, ""start"": 0}]",128,True,True,True,not_rechecked
10,1024,768,768,True,0,768,"[{""tail"": 0, ""cycle"": 768, ""generated_suffix"": 256}, {""tail"": 384, ""cycle"": 384, ""generated_suffix"": 256}]",256,[768],256,"[0, 384]",256,"[{""shift"": 256, ""start"": 256}, {""shift"": 384, ""start"": 0}, {""shift"": 384, ""start"": 384}, {""shift"": 768, ""start"": 0}]",256,True,True,True,not_rechecked
11,2048,1536,1536,True,0,1536,"[{""tail"": 0, ""cycle"": 1536, ""generated_suffix"": 512}, {""tail"": 768, ""cycle"": 768, ""generated_suffix"": 512}]",512,[1536],512,"[0, 768]",512,"[{""shift"": 512, ""start"": 512}, {""shift"": 768, ""start"": 0}, {""shift"": 768, ""start"": 768}, {""shift"": 1536, ""start"": 0}]",512,True,True,True,not_rechecked
12,4096,3072,3072,True,0,3072,"[{""tail"": 0, ""cycle"": 3072, ""generated_suffix"": 1024}, {""tail"": 1536, ""cycle"": 1536, ""generated_suffix"": 1024}]",1024,[3072],1024,"[0, 1536]",1024,"[{""shift"": 1024, ""start"": 1024}, {""shift"": 1536, ""start"": 0}, {""shift"": 1536, ""start"": 1536}, {""shift"": 3072, ""start"": 0}]",1024,True,True,True,not_rechecked
