level,length,word,dc,tail,cycle,complement_dc,complement_tail,complement_cycle
0,1,0,1,0,1,1,0,1
1,2,01,2,0,2,2,0,2
2,4,0110,3,0,3,3,0,3
3,8,01101001,6,0,6,6,0,6
4,16,0110100110010110,12,0,12,12,0,12
5,32,01101001100101101001011001101001,24,0,24,24,0,24
6,64,0110100110010110100101100110100110010110011010010110100110010110,48,0,48,48,0,48
7,128,0110100110010110100101100110100110010110011010010110100110010110...,96,0,96,96,0,96
8,256,0110100110010110100101100110100110010110011010010110100110010110...,192,0,192,192,0,192
9,512,0110100110010110100101100110100110010110011010010110100110010110...,384,0,384,384,0,384
10,1024,0110100110010110100101100110100110010110011010010110100110010110...,768,0,768,768,0,768
