level,length,deterministic_complexity,dimension,kraus_rank,amplitude_field,best_probability,best_log_probability,completeness_error,successful_restarts,restarts,maxiter,seed
2,4,3,2,2,real,0.36225689041380366,-1.0154016768061274,2.2291027918243403e-16,20,20,1200,20262731
3,8,6,2,2,real,0.041469816596026186,-3.182789427303528,3.236828524569469e-16,20,20,1200,20263731
3,8,6,3,2,real,0.24999999999988026,-1.3862943611203695,8.767478480461503e-16,20,20,1200,20263732
3,8,6,4,2,real,0.28621846398308454,-1.2509998996741996,6.36331546391255e-16,18,20,1200,20263733
4,16,12,2,2,real,0.0006964519920863617,-7.269511694490636,6.30790873832527e-16,20,20,1200,20264731
4,16,12,3,2,real,0.0067108863999930865,-5.004024235382909,8.518923028766556e-16,20,20,1200,20264732
4,16,12,4,2,real,0.01564072325698204,-4.157877300881635,1.1397225649763526e-15,19,20,1200,20264733
5,32,24,2,2,real,2.454444925327544e-07,-15.220195014939133,2.2291027918243403e-16,20,20,1200,20265731
5,32,24,3,2,real,1.5258789062428068e-05,-11.090354888963839,4.721571873792654e-16,20,20,1200,20265732
5,32,24,4,2,real,9.023156259915265e-05,-9.31313127415201,6.901319432461963e-16,20,20,1200,20265733
